epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,67.2586,0.49884,7.01658,0.68079,0.85088,1.1881,0.99995,1,0.995,0.99377,0.04056,0.17314,0.02687,0.01047,0.35563,8.55535,0.69001,0.37478,0.71369,0.00330065,0.00330065,0.00330065
2,130.177,0.13205,3.7998,0.5866,0.18082,0.89519,1,0.99978,0.995,0.98105,0.36359,0.80222,0.37327,0.13715,0.40388,5.69766,0.54186,0.43164,0.76908,0.00656831,0.00656831,0.00656831
3,193.095,0.17578,2.97429,0.44983,0.21115,0.8954,0.93702,0.98092,0.98366,0.93152,0.30336,0.40299,0.25722,0.10667,0.39072,6.79004,0.54857,0.50403,0.71331,0.00976997,0.00976997,0.00976997
4,259.76,0.20248,2.55315,0.36502,0.23318,0.90004,0.95226,0.99261,0.99243,0.97073,0.44322,0.45841,0.26659,0.07375,0.48388,5.67711,0.40785,0.54309,0.77499,0.009703,0.009703,0.009703
5,327.974,0.18432,2.28079,0.32269,0.21353,0.89106,0.99985,1,0.995,0.99305,0.80454,0.80468,0.68395,0.24794,0.44102,3.37295,0.40083,0.38434,0.65452,0.009604,0.009604,0.009604
6,394.055,0.17291,1.99339,0.28794,0.20007,0.88451,0.99851,1,0.995,0.99497,0.98927,0.99076,0.98594,0.46727,0.24304,2.11039,0.31355,0.31337,0.54318,0.009505,0.009505,0.009505
7,460.848,0.16339,1.88965,0.26789,0.19103,0.88277,0.99632,0.99938,0.99498,0.99489,0.91238,0.91105,0.87882,0.42147,0.42406,2.74888,0.39124,0.38437,0.62247,0.009406,0.009406,0.009406
8,528.518,0.15535,1.79404,0.24986,0.18347,0.87938,0.99944,0.99938,0.995,0.995,0.98092,0.9809,0.96924,0.52772,0.32246,1.96323,0.26288,0.31108,0.57609,0.009307,0.009307,0.009307
9,596.308,0.13977,1.61774,0.24127,0.17055,0.87783,0.99983,1,0.995,0.995,0.96964,0.96981,0.9504,0.50444,0.19357,2.02179,0.25325,0.29851,0.50221,0.009208,0.009208,0.009208
10,662.762,0.13251,1.36072,0.23955,0.16478,0.87566,0.99045,0.99877,0.99314,0.98938,0.94638,0.95317,0.92859,0.59632,0.28024,1.57735,0.26911,0.34809,0.55169,0.009109,0.009109,0.009109
